['-5.017831660006418e-05', '0.0001384923191588224', '-0.0001886484949003568', '0.0001886920208108665', '-0.0001385987390522057', '5.0353534594082e-05', '5.019919414777683e-05', '-0.0001384743778835954', '0.0001886509740393689', '-0.0001886799937832842', '0.0001385615477150612', '-5.036725317183247e-05']
['-8.598967407551849e-05', '0.0001584288028829781', '-0.000195760398286305', '0.0001753463701198055', '-0.0001147913435938717', '1.479630289333721e-05', '8.603084292007317e-05', '-0.0001584445262230997', '0.0001957523957316944', '-0.0001753774604565083', '0.0001147988610717062', '-1.477845376513782e-05']
['-0.0001145709661070954', '0.0001752131549645028', '-0.0001957717071798213', '0.0001583830156621659', '-8.610270772579626e-05', '-1.499422302620604e-05', '0.000114750335159744', '-0.0001752122417432628', '0.000195759292133117', '-0.0001585008442174294', '8.610932059357791e-05', '1.49364025219727e-05']
['-0.0001384660921570548', '0.0001886325833722502', '-0.0001886373761786272', '0.0001385748597307455', '-5.031916252093726e-05', '-5.027269549328245e-05', '0.0001384672014137271', '-0.000188617769186283', '0.0001886299546620379', '-0.0001385154740640098', '5.031577832992306e-05', '5.023837569587674e-05']
['-0.000158454304964939', '0.0001957879473588233', '-0.0001753293572030754', '0.0001146896182975233', '-1.487528330213292e-05', '-8.602013847752446e-05', '0.000158493284687398', '-0.0001957658764086642', '0.000175349300942701', '-0.0001147304058317461', '1.486718336468155e-05', '8.598282847358977e-05']
['-0.000175208130026356', '0.0001957768095226592', '-0.0001584665969624415', '8.610339204532501e-05', '1.493291020021356e-05', '-0.0001147275487945764', '0.0001751935916907856', '-0.0001957662846316946', '0.0001584735442667391', '-8.599467289536209e-05', '-1.489496879883178e-05', '0.0001145902842293918']
['-0.0001886726622783368', '0.0001886748786749161', '-0.000138277459198584', '5.022388338806713e-05', '5.03078488597799e-05', '-0.0001385985176845466', '0.0001886956405152015', '-0.0001886633809565608', '0.0001384815952463706', '-5.035778133109714e-05', '-5.031185116364974e-05', '0.0001385080567653245']
['-0.000195784868123284', '0.000175319087043797', '-0.0001147198723987142', '1.488480053822875e-05', '8.594329702164766e-05', '-0.0001584898550395495', '0.0001957517646767158', '-0.0001753021700668387', '0.0001148625487695591', '-1.486480912217779e-05', '-8.611714643979515e-05', '0.0001585253340511503']
['-0.0001957473587043415', '0.0001584668562562373', '-8.607436570994113e-05', '-1.485998262249256e-05', '0.0001146329570337396', '-0.0001753126500995995', '0.000195783290502875', '-0.0001584711753687803', '8.602865270393221e-05', '1.494291805788924e-05', '-0.000114640654595282', '0.0001752349314947836']
['-0.0001886885012160824', '0.0001385455208396932', '-5.038742994930153e-05', '-5.019257546118751e-05', '0.0001384790250096534', '-0.000188761881426232', '0.000188685498651262', '-0.0001384646320238393', '5.032738238655404e-05', '5.028029073353416e-05', '-0.0001384710236000531', '0.0001886460350997544']
['-0.0001753556245037361', '0.0001147870003496422', '-1.481441008782214e-05', '-8.597720459990837e-05', '0.0001584630164748312', '-0.0001958836463407503', '0.0001753726231906159', '-0.0001148205264288673', '1.484087031555035e-05', '8.602769720546423e-05', '-0.0001584176679211118', '0.0001957693534951882']
['-0.0001584864243502704', '8.609382523754741e-05', '1.494225435980416e-05', '-0.0001145978570590087', '0.0001752186538826205', '-0.0001958848654554624', '0.0001583779367106383', '-8.607271600210002e-05', '-1.491617191388787e-05', '0.0001147703549134416', '-0.0001752121410212525', '0.0001957718686760954']
['-0.00013854995569984', '5.017926501924607e-05', '5.02386427014778e-05', '-0.0001384245834400564', '0.0001886511886300752', '-0.0001887407893216667', '0.00013857245492301', '-5.01419155231146e-05', '-5.025642644672792e-05', '0.0001384318378671697', '-0.0001886242249451413', '0.000188654612381958']
['-0.0001148118034339705', '1.492003032734024e-05', '8.60638544713619e-05', '-0.0001584331106098822', '0.0001957644435174024', '-0.0001753338940004381', '0.0001146850584500175', '-1.491229405609901e-05', '-8.60235665809397e-05', '0.0001584860454720378', '-0.000195756931101481', '0.000175349487798051']
['-8.599046914521322e-05', '-1.486405286223285e-05', '0.0001147371183578832', '-0.0001752146901481715', '0.0001957755253278326', '-0.0001585212584074701', '8.601275165030077e-05', '1.487825829446822e-05', '-0.0001147277025084628', '0.0001752283334961934', '-0.0001957706621703314', '0.0001584783659654604']
['-5.028317615141995e-05', '-5.032585070499488e-05', '0.0001385015432797322', '-0.0001886629178212166', '0.0001886991511822864', '-0.0001384549636334481', '5.021660708873e-05', '5.037303960627636e-05', '-0.0001384109440133344', '0.0001887060063265013', '-0.0001886744931453048', '0.0001382968651170697']
['-1.481440196194445e-05', '-8.601233543041383e-05', '0.0001584552567696611', '-0.0001957720942314959', '0.0001752939404360923', '-0.0001147544053997439', '1.484980105347686e-05', '8.597918210842679e-05', '-0.0001585057056919781', '0.0001957876563177365', '-0.0001753042945566392', '0.000114817767134102']
['1.488023820222254e-05', '-0.0001147223123282376', '0.0001752357913419477', '-0.0001957558535781637', '0.0001584818816520624', '-8.59958916097343e-05', '-1.493247408666166e-05', '0.0001146233151975883', '-0.0001752123018334668', '0.0001957847330918052', '-0.0001584520099825481', '8.605975407065878e-05']
['5.018804771117205e-05', '-0.0001384840802232069', '0.0001886551497350026', '-0.0001886719991621758', '0.0001384792667898046', '-5.028540341395501e-05', '-5.022120529206511e-05', '0.0001384828267638424', '-0.0001886481677328304', '0.0001886982062202435', '-0.0001385553533862666', '5.037803245367986e-05']
['8.59856149193392e-05', '-0.0001584311685263287', '0.0001957572046752372', '-0.000175367398886981', '0.0001148545944911715', '-1.481935912949159e-05', '-8.600423090166481e-05', '0.0001584394721202477', '-0.0001957544852847593', '0.0001753752798717327', '-0.0001148010779123388', '1.477357487394796e-05']
['0.0001145841344207555', '-0.0001752012126249085', '0.0001957822617336899', '-0.0001584711422879027', '8.605472718898917e-05', '1.492259072365275e-05', '-0.0001147738987878593', '0.0001752258100528509', '-0.0001957505054578962', '0.0001585105212283225', '-8.60135725215182e-05', '-1.484994365042306e-05']
['0.0001384823614142054', '-0.0001886383254653123', '0.0001886442292370445', '-0.0001385323736417719', '5.024312867500937e-05', '5.024054026246435e-05', '-0.0001384455950112814', '0.0001886317319297744', '-0.0001886491665467056', '0.000138533898674995', '-5.030135464409165e-05', '-5.022386437031598e-05']
['0.0001584561651186775', '-0.000195786068335218', '0.0001753318458771385', '-0.0001146845198088638', '1.489781016638532e-05', '8.600363412883185e-05', '-0.0001585714431196402', '0.0001957682256639478', '-0.0001753471129996303', '0.0001148010024363482', '-1.49011115243375e-05', '-8.596580516706693e-05']
['0.0001752097786051954', '-0.0001957757709687317', '0.0001584657352295358', '-8.602059768833899e-05', '-1.484275530336175e-05', '0.0001147515075433829', '-0.0001753844931934179', '0.0001957685453627354', '-0.0001584679041486316', '8.600111776809041e-05', '1.488703357844591e-05', '-0.0001145867501948289']
['0.0001886921189451541', '-0.0001886549711356624', '0.0001383075940396372', '-5.018472004792275e-05', '-5.028096719451441e-05', '0.0001384468410133778', '-0.0001887377855145539', '0.0001886866222249311', '-0.0001384502530833188', '5.034871754051418e-05', '5.031881615731688e-05', '-0.0001385167466978079']
['0.0001957939730703136', '-0.0001753063519060718', '0.0001147363460123322', '-1.484405660258866e-05', '-8.592165259315416e-05', '0.0001584571494848816', '-0.0001959176290672946', '0.0001753181347518958', '-0.0001148436269773246', '1.488696530345463e-05', '8.613556152611929e-05', '-0.0001585141022314978']
['0.0001957576747707117', '-0.0001584514000278664', '8.609669101353995e-05', '1.488707412595942e-05', '-0.0001146104290397533', '0.0001751921629200559', '-0.000195889591737795', '0.0001584913612858761', '-8.600482170323589e-05', '-1.49105640078997e-05', '0.0001146821860940759', '-0.0001752224051604524']
['0.0001886970828927291', '-0.0001385332621137094', '5.040426851156405e-05', '5.021056977711809e-05', '-0.0001384646644791844', '0.0001886677122578252', '-0.0001887329753918634', '0.0001384824057437065', '-5.030827662117721e-05', '-5.026485812001811e-05', '0.0001384821978375913', '-0.0001886377343614951']
['0.0001753637587225234', '-0.0001147720143837921', '1.483351811516378e-05', '8.599650352582113e-05', '-0.0001584443851998438', '0.0001957525156851363', '-0.0001754099635209968', '0.0001148177512413146', '-1.48061244303309e-05', '-8.601094835427399e-05', '0.0001584279427544719', '-0.0001957396232050364']
['0.0001585190312761431', '-8.603398134600494e-05', '-1.490347440378708e-05', '0.0001146193036485203', '-0.0001752004440970388', '0.0001957509116467652', '-0.0001584855929803997', '8.607190473805198e-05', '1.494522812940962e-05', '-0.0001147470618608117', '0.0001752266890825611', '-0.000195760931020906']
